x,y,p,tv,u,v,dx-velocity-dy
 4.749998450E-02,-1.00E-02,-6.41E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.86E+00
 4.799999297E-02,-1.00E-02,-6.35E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.88E+00
 4.850000143E-02,-1.00E-02,-6.28E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.90E+00
 4.899999499E-02,-1.00E-02,-6.21E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.92E+00
 4.950000346E-02,-1.00E-02,-6.14E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.94E+00
 4.999999702E-02,-1.00E-02,-6.06E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.96E+00
 5.049999058E-02,-1.00E-02,-5.99E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.98E+00
 5.099999905E-02,-1.00E-02,-5.91E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.99E+00
 5.149999261E-02,-1.00E-02,-5.84E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-3.01E+00
 5.200000107E-02,-1.00E-02,-5.76E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-3.02E+00
 5.249999464E-02,-1.00E-02,-5.68E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-3.03E+00
 5.299998820E-02,-1.00E-02,-5.60E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-3.04E+00
 5.349999666E-02,-1.00E-02,-5.52E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-3.05E+00
 5.399999022E-02,-1.00E-02,-5.43E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-3.06E+00
 5.449999869E-02,-1.00E-02,-5.35E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-3.07E+00
 5.499999225E-02,-1.00E-02,-5.26E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-3.07E+00
 5.550000072E-02,-1.00E-02,-5.17E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-3.07E+00
 5.599999428E-02,-1.00E-02,-5.08E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-3.07E+00
 5.650000274E-02,-1.00E-02,-4.99E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-3.07E+00
 5.699999630E-02,-1.00E-02,-4.90E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-3.07E+00
 5.749998987E-02,-1.00E-02,-4.80E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-3.06E+00
 5.799999833E-02,-1.00E-02,-4.71E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-3.05E+00
 5.849999189E-02,-1.00E-02,-4.61E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-3.04E+00
 5.900000036E-02,-1.00E-02,-4.51E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-3.03E+00
 5.949999392E-02,-1.00E-02,-4.41E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-3.01E+00
 5.999998748E-02,-1.00E-02,-4.31E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.99E+00
 6.049999595E-02,-1.00E-02,-4.21E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.97E+00
 6.099998951E-02,-1.00E-02,-4.11E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.95E+00
 6.149999797E-02,-1.00E-02,-4.01E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.92E+00
 6.199999154E-02,-1.00E-02,-3.91E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.89E+00
 6.249998510E-02,-1.00E-02,-3.80E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.86E+00
 6.299999356E-02,-1.00E-02,-3.70E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.82E+00
 6.350000203E-02,-1.00E-02,-3.59E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.78E+00
 6.399999559E-02,-1.00E-02,-3.49E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.74E+00
 6.450000405E-02,-1.00E-02,-3.38E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.69E+00
 6.499999762E-02,-1.00E-02,-3.28E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.64E+00
 6.549999118E-02,-1.00E-02,-3.17E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.59E+00
 6.599999964E-02,-1.00E-02,-3.07E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.53E+00
 6.649999321E-02,-1.00E-02,-2.96E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.47E+00
 6.700000167E-02,-1.00E-02,-2.86E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.41E+00
 6.749999523E-02,-1.00E-02,-2.75E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.34E+00
 6.799998879E-02,-1.00E-02,-2.65E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.27E+00
 6.849999726E-02,-1.00E-02,-2.55E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.20E+00
 6.899999082E-02,-1.00E-02,-2.45E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.13E+00
 6.949999928E-02,-1.00E-02,-2.35E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.05E+00
 6.999999285E-02,-1.00E-02,-2.25E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.98E+00
 7.049998641E-02,-1.00E-02,-2.15E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.90E+00
 7.099999487E-02,-1.00E-02,-2.05E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.82E+00
 7.149998844E-02,-1.00E-02,-1.96E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.72E+00
 7.199999690E-02,-1.00E-02,-1.86E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.61E+00
 7.249999046E-02,-1.00E-02,-1.77E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.50E+00
 7.299999893E-02,-1.00E-02,-1.68E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.38E+00
 7.349999249E-02,-1.00E-02,-1.60E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.27E+00
 7.399998605E-02,-1.00E-02,-1.51E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.16E+00
 7.449999452E-02,-1.00E-02,-1.43E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.06E+00
 7.499998808E-02,-1.00E-02,-1.35E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-9.51E-01
 7.549999654E-02,-1.00E-02,-1.27E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-8.43E-01
 7.599999011E-02,-1.00E-02,-1.20E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-7.31E-01
 7.649998367E-02,-1.00E-02,-1.13E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-6.13E-01
 7.699999213E-02,-1.00E-02,-1.05E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-4.95E-01
 7.749998569E-02,-1.00E-02,-9.87E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-3.91E-01
 7.800000906E-02,-1.00E-02,-9.23E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.95E-01
 7.849998772E-02,-1.00E-02,-8.62E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.08E-01
 7.899998128E-02,-1.00E-02,-8.03E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.23E-01
 7.950000465E-02,-1.00E-02,-7.46E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-3.46E-02
 7.999999821E-02,-1.00E-02,-6.91E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.692716395E-02
 8.050000668E-02,-1.00E-02,-6.39E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.319815027E-01
 8.100000024E-02,-1.00E-02,-5.90E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.364062496E-01
 8.149999380E-02,-1.00E-02,-5.44E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.472964905E-01
 8.200000226E-02,-1.00E-02,-5.00E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.505936398E-01
 8.249999583E-02,-1.00E-02,-4.58E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.498411797E-01
 8.300000429E-02,-1.00E-02,-4.19E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 6.458063304E-01
 8.349999785E-02,-1.00E-02,-3.83E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 7.391292851E-01
 8.399999142E-02,-1.00E-02,-3.48E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.300240647E-01
 8.449999988E-02,-1.00E-02,-3.16E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 9.185752156E-01
 8.499999344E-02,-1.00E-02,-2.86E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.004771496E+00
 8.550000191E-02,-1.00E-02,-2.59E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.088584227E+00
 8.599999547E-02,-1.00E-02,-2.33E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.169960898E+00
 8.649998903E-02,-1.00E-02,-2.09E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.248856638E+00
 8.699999750E-02,-1.00E-02,-1.87E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.325230113E+00
 8.749999106E-02,-1.00E-02,-1.67E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.399036558E+00
 8.799999952E-02,-1.00E-02,-1.48E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.470248005E+00
 8.849999309E-02,-1.00E-02,-1.31E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.538837529E+00
 8.899998665E-02,-1.00E-02,-1.15E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.604787413E+00
 8.949999511E-02,-1.00E-02,-1.01E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.668091907E+00
 8.999998868E-02,-1.00E-02,-8.85E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.728747851E+00
 9.049999714E-02,-1.00E-02,-7.70E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.786763389E+00
 9.099999070E-02,-1.00E-02,-6.66E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.842148686E+00
 9.149998426E-02,-1.00E-02,-5.73E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.894925884E+00
 9.199999273E-02,-1.00E-02,-4.90E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.945124892E+00
 9.249998629E-02,-1.00E-02,-4.17E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.992774082E+00
 9.299999475E-02,-1.00E-02,-3.52E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.037914065E+00
 9.349998832E-02,-1.00E-02,-2.94E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.080586309E+00
 9.399998188E-02,-1.00E-02,-2.44E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.120836857E+00
 9.450000525E-02,-1.00E-02,-2.01E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.158723875E+00
 9.499998391E-02,-1.00E-02,-1.63E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.194294371E+00
 9.550000727E-02,-1.00E-02,-1.30E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.227613763E+00
 9.600000083E-02,-1.00E-02,-1.02E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.258740827E+00
 9.649997950E-02,-1.00E-02,-7.85E-05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.287736237E+00
 9.700000286E-02,-1.00E-02,-5.83E-05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.314671436E+00
 9.749999642E-02,-1.00E-02,-4.11E-05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.339610478E+00
 9.800000489E-02,-1.00E-02,-2.67E-05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.362626614E+00
 9.849999845E-02,-1.00E-02,-1.44E-05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.383788833E+00
 9.899999201E-02,-1.00E-02,-3.93E-06, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.403167457E+00
 9.950000048E-02,-1.00E-02, 5.078582829E-06, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.420834172E+00
 9.999999404E-02,-1.00E-02, 1.296725969E-05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.436857104E+00
 1.005000025E-01,-1.00E-02, 2.004738354E-05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.451311431E+00
 1.009999961E-01,-1.00E-02, 2.661513736E-05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.464265289E+00
 1.014999896E-01,-1.00E-02, 3.294273449E-05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.475781924E+00
 1.019999981E-01,-1.00E-02, 3.926953676E-05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.485936162E+00
 1.024999917E-01,-1.00E-02, 4.581266974E-05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.494796873E+00
 1.030000001E-01,-1.00E-02, 5.277617235E-05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.502431587E+00
 1.034999937E-01,-1.00E-02, 6.034123362E-05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.508905706E+00
 1.039999872E-01,-1.00E-02, 6.866388905E-05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.514278340E+00
 1.044999957E-01,-1.00E-02, 7.787959058E-05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.518615089E+00
 1.049999893E-01,-1.00E-02, 8.810827769E-05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.521979932E+00
 1.054999977E-01,-1.00E-02, 9.945366919E-05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.524432615E+00
 1.059999913E-01,-1.00E-02, 1.120074739E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.526031212E+00
 1.064999849E-01,-1.00E-02, 1.258264034E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.526837403E+00
 1.069999933E-01,-1.00E-02, 1.409463814E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.526913601E+00
