x,y,p,tv,av,rv,sv
 1.488235220E-02, 5.300000310E-02, 5.349920131E-03, 7.086415309E-03,-4.31E-05,-8.52E-04, 7.034801878E-03
 1.719607785E-02, 5.299999565E-02, 4.617279861E-03, 1.143713202E-02,-6.12E-05,-2.92E-04, 1.143282745E-02
 1.950980537E-02, 5.299999937E-02, 5.522104446E-03, 1.725893281E-02,-1.17E-05, 1.208713045E-03, 1.721647754E-02
 2.182352915E-02, 5.299999565E-02, 5.130093079E-03, 1.613055915E-02, 1.902052645E-05, 8.710908587E-04, 1.610679738E-02
 2.413725294E-02, 5.299999937E-02, 4.782655276E-03, 1.003679633E-02, 7.112932508E-05,-5.36E-04, 1.002188027E-02
 2.645098232E-02, 5.299999937E-02, 5.428190343E-03, 6.782943383E-03, 1.486355723E-05,-8.58E-04, 6.728378125E-03
 2.876470610E-02, 5.299999937E-02, 4.988719244E-03, 8.840690367E-03,-7.38E-05,-6.97E-04, 8.812604472E-03
 3.107842989E-02, 5.299999565E-02, 4.784876481E-03, 1.472992264E-02,-2.96E-05, 4.754867114E-04, 1.472192537E-02
 3.339215741E-02, 5.299999565E-02, 5.798485596E-03, 1.791686565E-02, 3.297391004E-06, 1.403685077E-03, 1.786177605E-02
 3.570588306E-02, 5.299999565E-02, 4.601873923E-03, 1.301151514E-02, 4.392637857E-05, 4.170484317E-05, 1.301105414E-02
 3.801960871E-02, 5.299999565E-02, 5.214471370E-03, 7.798084524E-03, 6.374235818E-05,-7.88E-04, 7.757687476E-03
 4.033333436E-02, 5.299999565E-02, 5.360282958E-03, 7.125948090E-03,-4.37E-05,-8.31E-04, 7.077160291E-03
 4.264706373E-02, 5.299999937E-02, 4.627970513E-03, 1.143331733E-02,-5.94E-05,-2.96E-04, 1.142894477E-02
 4.496078566E-02, 5.299999937E-02, 5.508762784E-03, 1.724017039E-02,-1.11E-05, 1.188531169E-03, 1.719905622E-02
 4.727451503E-02, 5.299999565E-02, 5.168740172E-03, 1.626443677E-02, 1.597304981E-05, 8.954884252E-04, 1.623957977E-02
 4.958823696E-02, 5.299999565E-02, 4.775012843E-03, 1.022881642E-02, 6.802997814E-05,-5.02E-04, 1.021589525E-02
 5.190196261E-02, 5.299999937E-02, 5.437869113E-03, 6.836025044E-03, 2.182218304E-05,-8.27E-04, 6.785776466E-03
 5.421568453E-02, 5.299999565E-02, 5.085826851E-03, 8.465453982E-03,-7.11E-05,-7.22E-04, 8.434038609E-03
 5.652941391E-02, 5.299999937E-02, 4.687413108E-03, 1.408453472E-02,-3.25E-05, 2.940639388E-04, 1.408111583E-02
 5.884313956E-02, 5.299999937E-02, 5.850962363E-03, 1.805655472E-02,-4.37E-07, 1.426729024E-03, 1.800009236E-02
 6.115686148E-02, 5.299999937E-02, 4.674690310E-03, 1.385740750E-02, 3.275103518E-05, 2.341213258E-04, 1.385504473E-02
 6.347058713E-02, 5.299999937E-02, 5.126711912E-03, 8.358336054E-03, 6.923842011E-05,-7.22E-04, 8.326616138E-03
 6.578431278E-02, 5.299999937E-02, 5.448883865E-03, 6.858833600E-03,-2.31E-05,-8.06E-04, 6.811201572E-03
 6.809803843E-02, 5.299999937E-02, 4.791817628E-03, 1.018716767E-02,-6.73E-05,-5.08E-04, 1.017398946E-02
 7.041176409E-02, 5.299999937E-02, 5.135906860E-03, 1.617820188E-02,-1.57E-05, 8.539495757E-04, 1.615543477E-02
 7.272548974E-02, 5.299999937E-02, 5.573133472E-03, 1.740606502E-02, 6.833628049E-06, 1.213818090E-03, 1.736361533E-02
 7.503920794E-02, 5.299999565E-02, 4.644698463E-03, 1.176462695E-02, 5.168593634E-05,-2.36E-04, 1.176178362E-02
 7.735294104E-02, 5.300000310E-02, 5.359262694E-03, 7.357480936E-03, 5.054736903E-05,-7.71E-04, 7.316645235E-03
 7.966667414E-02, 5.299999937E-02, 5.350962747E-03, 7.393512875E-03,-5.21E-05,-7.70E-04, 7.353038993E-03
 8.198038489E-02, 5.299999565E-02, 4.636551253E-03, 1.184705645E-02,-5.11E-05,-2.21E-04, 1.184449065E-02
 8.429411799E-02, 5.299999937E-02, 5.588590167E-03, 1.745485514E-02,-7.55E-06, 1.220540842E-03, 1.741206273E-02
 8.660784364E-02, 5.299999565E-02, 5.145355593E-03, 1.617761143E-02, 1.288646035E-05, 8.404317778E-04, 1.615555398E-02
 8.892156929E-02, 5.299999565E-02, 4.818254616E-03, 1.025151648E-02, 6.410614151E-05,-4.93E-04, 1.023914013E-02
 9.123530239E-02, 5.299999937E-02, 5.468665622E-03, 6.933364552E-03, 2.654885793E-05,-7.67E-04, 6.890709046E-03
 9.354902059E-02, 5.299999937E-02, 5.217136815E-03, 8.100340143E-03,-6.52E-05,-7.20E-04, 8.067820221E-03
 9.586274624E-02, 5.299999937E-02, 4.640746862E-03, 1.324313134E-02,-3.57E-05, 7.221486885E-05, 1.324256603E-02
 9.817647189E-02, 5.299999937E-02, 5.826537497E-03, 1.801257953E-02,-2.76E-06, 1.382236485E-03, 1.795945130E-02
 1.004901975E-01, 5.299999937E-02, 4.846922122E-03, 1.495209150E-02, 2.016042345E-05, 4.953697789E-04, 1.494362205E-02
 1.028039232E-01, 5.299999937E-02, 4.999941681E-03, 9.220107459E-03, 6.893669342E-05,-6.20E-04, 9.198744781E-03
 1.051176414E-01, 5.299999565E-02, 5.501272157E-03, 6.799524650E-03, 5.572852388E-06,-7.60E-04, 6.756895222E-03
 1.074313819E-01, 5.299999937E-02, 5.059564020E-03, 8.818355389E-03,-6.70E-05,-6.68E-04, 8.792511187E-03
 1.097451001E-01, 5.299999937E-02, 4.703314044E-03, 1.442862488E-02,-1.66E-05, 3.539336903E-04, 1.442394126E-02
 1.120588332E-01, 5.299999937E-02, 5.791435484E-03, 1.821913384E-02, 9.912888345E-06, 1.470176736E-03, 1.815970987E-02
 1.143725514E-01, 5.299999565E-02, 4.312004428E-03, 1.398148946E-02, 3.786269008E-05, 3.391169012E-04, 1.397694740E-02
 1.166862771E-01, 5.299999937E-02, 4.530906677E-03, 7.954289205E-03, 1.451325952E-04,-6.19E-04, 7.928479463E-03
 1.190000027E-01, 5.300000310E-02, 4.913232755E-03, 2.624703338E-03, 6.740474782E-05,-6.27E-04, 2.547611948E-03
 1.000000047E-03, 5.400000513E-02, 5.681762472E-03, 1.806836575E-03,-1.78E-04,-4.53E-04, 1.739826985E-03
 3.313725814E-03, 5.400000513E-02, 6.044730544E-03, 6.420754362E-03,-8.67E-04,-5.01E-04, 6.341898814E-03
 5.627450999E-03, 5.400000513E-02, 8.000859991E-03, 1.203881763E-02,-9.42E-04, 3.745433060E-04, 1.199566387E-02
 7.941176184E-03, 5.400000513E-02, 1.020316500E-02, 1.479289122E-02, 8.955172962E-05, 1.152166165E-03, 1.474759355E-02
 1.025490183E-02, 5.400000513E-02, 7.769917138E-03, 1.072674338E-02, 9.039924480E-04, 5.831334056E-05, 1.068800129E-02
 1.256862748E-02, 5.400000513E-02, 6.604916416E-03, 5.540803075E-03, 5.247505032E-04,-6.04E-04, 5.482452922E-03
 1.488235407E-02, 5.400000513E-02, 6.530272774E-03, 4.707138054E-03,-2.93E-04,-6.25E-04, 4.656169098E-03
 1.719607785E-02, 5.400000513E-02, 7.205893751E-03, 8.953546174E-03,-8.87E-04,-2.53E-04, 8.905547671E-03
 1.950980164E-02, 5.400000513E-02, 9.729345329E-03, 1.403971948E-02,-4.50E-04, 9.351721965E-04, 1.400115993E-02
 2.182352729E-02, 5.400000513E-02, 9.078229778E-03, 1.311531849E-02, 6.755836075E-04, 6.653581513E-04, 1.308070868E-02
 2.413725294E-02, 5.400000140E-02, 6.907427683E-03, 7.617408410E-03, 8.041479159E-04,-4.32E-04, 7.562209852E-03
 2.645098045E-02, 5.400000140E-02, 6.503876299E-03, 4.384398460E-03, 9.824441804E-05,-6.22E-04, 4.338779487E-03
 2.876470610E-02, 5.400000513E-02, 6.719995756E-03, 6.454461254E-03,-6.76E-04,-5.40E-04, 6.395894103E-03
 3.107843176E-02, 5.400000140E-02, 8.373720571E-03, 1.192686614E-02,-8.29E-04, 3.489215451E-04, 1.189256180E-02
 3.339215741E-02, 5.400000513E-02, 1.014626026E-02, 1.455988456E-02, 1.678750123E-04, 1.090600854E-03, 1.451788284E-02
 3.570588306E-02, 5.400000513E-02, 7.681664079E-03, 1.039445587E-02, 9.023554157E-04, 4.914283636E-06, 1.035486627E-02
 3.801960871E-02, 5.400000140E-02, 6.594827399E-03, 5.407390650E-03, 4.944413668E-04,-5.92E-04, 5.351914093E-03
 4.033333063E-02, 5.400000513E-02, 6.527682766E-03, 4.726113752E-03,-3.04E-04,-6.09E-04, 4.676662385E-03
 4.264706001E-02, 5.400000140E-02, 7.208273280E-03, 8.939529769E-03,-8.88E-04,-2.55E-04, 8.891289122E-03
 4.496078566E-02, 5.400000513E-02, 9.726407006E-03, 1.402631588E-02,-4.64E-04, 9.199981578E-04, 1.398822479E-02
 4.727451131E-02, 5.400000513E-02, 9.158819914E-03, 1.322406344E-02, 6.614943850E-04, 6.856129039E-04, 1.318946015E-02
 4.958823696E-02, 5.400000513E-02, 6.944807246E-03, 7.783709094E-03, 8.185965708E-04,-4.07E-04, 7.729457691E-03
 5.190195888E-02, 5.400000140E-02, 6.494362373E-03, 4.412161652E-03, 1.458888582E-04,-6.00E-04, 4.368666094E-03
 5.421568081E-02, 5.400000513E-02, 6.667458452E-03, 6.061896682E-03,-6.20E-04,-5.54E-04, 6.004381459E-03
 5.652941018E-02, 5.400000513E-02, 8.096183650E-03, 1.135442499E-02,-8.73E-04, 2.045552246E-04, 1.131858490E-02
 5.884313583E-02, 5.400000513E-02, 1.024926547E-02, 1.467253640E-02, 2.268438402E-05, 1.110262703E-03, 1.463034190E-02
 6.115686148E-02, 5.400000513E-02, 8.008491248E-03, 1.114177611E-02, 8.810334839E-04, 1.568840235E-04, 1.110539585E-02
 6.347058713E-02, 5.400000885E-02, 6.653988734E-03, 5.937887356E-03, 5.989095662E-04,-5.52E-04, 5.881568417E-03
 6.578431278E-02, 5.400000885E-02, 6.488520652E-03, 4.415468313E-03,-1.54E-04,-5.85E-04, 4.373666830E-03
 6.809803843E-02, 5.400000513E-02, 6.937225349E-03, 7.731720805E-03,-8.17E-04,-4.11E-04, 7.677084301E-03
 7.041176409E-02, 5.400000513E-02, 9.120823815E-03, 1.315266639E-02,-6.83E-04, 6.533029955E-04, 1.311838720E-02
 7.272548974E-02, 5.400000140E-02, 9.843338281E-03, 1.415385306E-02, 4.289255012E-04, 9.415090899E-04, 1.411583461E-02
 7.503921539E-02, 5.400000513E-02, 7.308912463E-03, 9.215719067E-03, 8.952846983E-04,-2.10E-04, 9.169332683E-03
 7.735294104E-02, 5.400000140E-02, 6.535533816E-03, 4.906750750E-03, 3.702185059E-04,-5.70E-04, 4.859274253E-03
 7.966666669E-02, 5.400000513E-02, 6.538695656E-03, 4.943694919E-03,-3.83E-04,-5.70E-04, 4.895705264E-03
 8.198039234E-02, 5.400000513E-02, 7.331073284E-03, 9.294024669E-03,-9.00E-04,-1.99E-04, 9.247829206E-03
 8.429412544E-02, 5.400000513E-02, 9.879305027E-03, 1.419452578E-02,-4.22E-04, 9.474874241E-04, 1.415645611E-02
 8.660785109E-02, 5.400000513E-02, 9.130731225E-03, 1.314005535E-02, 6.836528191E-04, 6.429222412E-04, 1.310621947E-02
 8.892156929E-02, 5.400000513E-02, 6.960748695E-03, 7.763539441E-03, 8.166200714E-04,-4.00E-04, 7.709742524E-03
 9.123528749E-02, 5.400000513E-02, 6.485722028E-03, 4.448703025E-03, 1.815196010E-04,-5.57E-04, 4.409788176E-03
 9.354901314E-02, 5.400000513E-02, 6.621090695E-03, 5.642443895E-03,-5.46E-04,-5.46E-04, 5.589187611E-03
 9.586274624E-02, 5.400000513E-02, 7.785232272E-03, 1.057180483E-02,-9.03E-04, 2.910090916E-05, 1.053276844E-02
 9.817647189E-02, 5.400000513E-02, 1.024145726E-02, 1.463551167E-02,-1.68E-04, 1.076765475E-03, 1.459474862E-02
 1.004901975E-01, 5.400000513E-02, 8.504441008E-03, 1.208931766E-02, 8.201172459E-04, 3.661073861E-04, 1.205561869E-02
 1.028039232E-01, 5.400000513E-02, 6.778332405E-03, 6.749919616E-03, 7.154624909E-04,-4.86E-04, 6.693948992E-03
 1.051176488E-01, 5.400000140E-02, 6.465114653E-03, 4.302620422E-03, 3.270650996E-05,-5.49E-04, 4.267183132E-03
 1.074313819E-01, 5.400000513E-02, 6.711449940E-03, 6.371293217E-03,-6.70E-04,-5.19E-04, 6.314373575E-03
 1.097451001E-01, 5.400000513E-02, 8.245601319E-03, 1.168239117E-02,-8.66E-04, 2.498753020E-04, 1.164717600E-02
 1.120588258E-01, 5.400000513E-02, 1.033606380E-02, 1.493151579E-02, 7.594349154E-05, 1.148656826E-03, 1.488699205E-02
 1.143725514E-01, 5.400000513E-02, 7.761643268E-03, 1.153137349E-02, 9.874375537E-04, 2.312491997E-04, 1.148626022E-02
 1.166862771E-01, 5.400000513E-02, 6.013596430E-03, 6.100967992E-03, 8.320658235E-04,-4.98E-04, 6.023080088E-03
 1.190000102E-01, 5.400000140E-02, 5.646809470E-03, 1.746876282E-03, 1.695421379E-04,-4.24E-04, 1.685927971E-03
 1.000000047E-03, 5.499999970E-02, 5.968258251E-03, 9.378114482E-04,-1.57E-04,-1.53E-04, 9.116951260E-04
 3.313725349E-03, 5.499999970E-02, 6.920660380E-03, 3.642432159E-03,-9.19E-04,-2.01E-04, 3.518706886E-03
 5.627450999E-03, 5.499999970E-02, 1.031425316E-02, 7.004485931E-03,-1.15E-03, 1.280848519E-04, 6.908639800E-03
 7.941176184E-03, 5.499999970E-02, 1.293649431E-02, 8.524285629E-03, 1.291007793E-04, 4.596299841E-04, 8.510684595E-03
 1.025490090E-02, 5.499999970E-02, 9.728904814E-03, 6.147833075E-03, 1.094303560E-03, 1.747971510E-06, 6.049415097E-03
 1.256862748E-02, 5.499999970E-02, 7.245402783E-03, 2.978207776E-03, 5.625677877E-04,-2.25E-04, 2.915797988E-03
 1.488235313E-02, 5.499999970E-02, 6.986426190E-03, 2.447955776E-03,-3.06E-04,-2.24E-04, 2.418245422E-03
