x,y,p,tv,av,rv,sv,dswirl-velocity-dy
 5.294999882E-02, 5.000000000E-02,-8.27E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.39E+00
 5.309999881E-02, 5.000000000E-02,-8.38E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.35E+00
 5.324999881E-02, 5.000000000E-02,-8.51E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.30E+00
 5.339999881E-02, 5.000000000E-02,-8.66E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.25E+00
 5.354999880E-02, 5.000000000E-02,-8.83E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.18E+00
 5.369999880E-02, 5.000000000E-02,-9.02E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.11E+00
 5.384999880E-02, 5.000000000E-02,-9.23E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.03E+00
 5.399999879E-02, 5.000000000E-02,-9.47E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-7.94E+00
 5.414999879E-02, 5.000000000E-02,-9.72E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-7.84E+00
 5.429999879E-02, 5.000000000E-02,-9.99E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-7.73E+00
 5.444999878E-02, 5.000000000E-02,-1.03E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-7.61E+00
 5.459999878E-02, 5.000000000E-02,-1.06E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-7.48E+00
 5.474999878E-02, 5.000000000E-02,-1.09E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-7.34E+00
 5.489999877E-02, 5.000000000E-02,-1.13E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-7.20E+00
 5.504999877E-02, 5.000000000E-02,-1.16E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-7.04E+00
 5.519999877E-02, 5.000000000E-02,-1.20E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-6.87E+00
 5.534999876E-02, 5.000000000E-02,-1.23E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-6.70E+00
 5.549999876E-02, 5.000000000E-02,-1.27E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-6.52E+00
 5.564999876E-02, 5.000000000E-02,-1.31E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-6.32E+00
 5.579999875E-02, 5.000000000E-02,-1.35E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-6.13E+00
 5.594999875E-02, 5.000000000E-02,-1.39E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-5.92E+00
 5.609999875E-02, 5.000000000E-02,-1.43E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-5.71E+00
 5.624999874E-02, 5.000000000E-02,-1.47E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-5.49E+00
