x,y,sv
 3.142499924E-02, 5.026204139E-02, 2.417537197E-02
 3.157499805E-02, 5.026204139E-02, 2.421812341E-02
 3.172500059E-02, 5.026204139E-02, 2.425910346E-02
 3.187499940E-02, 5.026204139E-02, 2.429778688E-02
 3.202499822E-02, 5.026204139E-02, 2.433363721E-02
 3.217500076E-02, 5.026204139E-02, 2.436611243E-02
 3.232499957E-02, 5.026204139E-02, 2.439468540E-02
 3.247499838E-02, 5.026204139E-02, 2.441886626E-02
 3.262500092E-02, 5.026204139E-02, 2.443821356E-02
 3.277499974E-02, 5.026204139E-02, 2.445236221E-02
 3.292499855E-02, 5.026204139E-02, 2.446104027E-02
 3.307500109E-02, 5.026204139E-02, 2.446407266E-02
 3.322499990E-02, 5.026204139E-02, 2.446140163E-02
 3.337499872E-02, 5.026204139E-02, 2.445308492E-02
 3.352500126E-02, 5.026204139E-02, 2.443929017E-02
 3.367500007E-02, 5.026204139E-02, 2.442029119E-02
 3.382499889E-02, 5.026204139E-02, 2.439645305E-02
 3.397499770E-02, 5.026204139E-02, 2.436820790E-02
 3.412500024E-02, 5.026204139E-02, 2.433605306E-02
 3.427499905E-02, 5.026204139E-02, 2.430051006E-02
 3.442499787E-02, 5.026204139E-02, 2.426212095E-02
 3.457500041E-02, 5.026204139E-02, 2.422142774E-02
 3.472499922E-02, 5.026204139E-02, 2.417895198E-02
 3.487499803E-02, 5.026204139E-02, 2.413519099E-02
 3.502500057E-02, 5.026204139E-02, 2.409061044E-02
 3.517499939E-02, 5.026204139E-02, 2.404562756E-02
 3.532499820E-02, 5.026204139E-02, 2.400062233E-02
 3.547500074E-02, 5.026204139E-02, 2.395593002E-02
 3.562499955E-02, 5.026204139E-02, 2.391184866E-02
 3.577499837E-02, 5.026204139E-02, 2.386862971E-02
 3.592500091E-02, 5.026204139E-02, 2.382649109E-02
 3.607499972E-02, 5.026204139E-02, 2.378562093E-02
 3.622499853E-02, 5.026204139E-02, 2.374617383E-02
 3.637500107E-02, 5.026204139E-02, 2.370827459E-02
 3.652499989E-02, 5.026204139E-02, 2.367202938E-02
 3.667499870E-02, 5.026204139E-02, 2.363751829E-02
 3.682500124E-02, 5.026204139E-02, 2.360480838E-02
 3.697500005E-02, 5.026204139E-02, 2.357394248E-02
 3.712499887E-02, 5.026204139E-02, 2.354495414E-02
 3.727499768E-02, 5.026204139E-02, 2.351786569E-02
 3.742500022E-02, 5.026204139E-02, 2.349268459E-02
 3.757499903E-02, 5.026204139E-02, 2.346940897E-02
 3.772499785E-02, 5.026204139E-02, 2.344803326E-02
 3.787500039E-02, 5.026204139E-02, 2.342854440E-02
 3.802499920E-02, 5.026204139E-02, 2.341092005E-02
 3.817499802E-02, 5.026204139E-02, 2.339513786E-02
 3.832500055E-02, 5.026204139E-02, 2.338117734E-02
 3.847499937E-02, 5.026204139E-02, 2.336900868E-02
 3.862499818E-02, 5.026204139E-02, 2.335860953E-02
 3.877500072E-02, 5.026204139E-02, 2.334995568E-02
 3.892499954E-02, 5.026204139E-02, 2.334302478E-02
 3.907499835E-02, 5.026204139E-02, 2.333779633E-02
 3.922500089E-02, 5.026204139E-02, 2.333425917E-02
 3.937499970E-02, 5.026204139E-02, 2.333240397E-02
 3.952499852E-02, 5.026204139E-02, 2.333221957E-02
 3.967500106E-02, 5.026204139E-02, 2.333370410E-02
 3.982499987E-02, 5.026204139E-02, 2.333686687E-02
 3.997499868E-02, 5.026204139E-02, 2.334171534E-02
 4.012500122E-02, 5.026204139E-02, 2.334826067E-02
 4.027500004E-02, 5.026204139E-02, 2.335652150E-02
 4.042499885E-02, 5.026204139E-02, 2.336651832E-02
 4.057499766E-02, 5.026204139E-02, 2.337827161E-02
 4.072500020E-02, 5.026204139E-02, 2.339180745E-02
 4.087499902E-02, 5.026204139E-02, 2.340715006E-02
 4.102499783E-02, 5.026204139E-02, 2.342432551E-02
 4.117500037E-02, 5.026204139E-02, 2.344335243E-02
 4.132499918E-02, 5.026204139E-02, 2.346425317E-02
 4.147499800E-02, 5.026204139E-02, 2.348704264E-02
 4.162500054E-02, 5.026204139E-02, 2.351172827E-02
 4.177499935E-02, 5.026204139E-02, 2.353831194E-02
 4.192499816E-02, 5.026204139E-02, 2.356678993E-02
