x,y,dswirl-velocity-dy
 2.977499925E-02, 5.000000075E-02,-6.61E+00
 2.992499992E-02, 5.000000075E-02,-6.42E+00
 3.007499874E-02, 5.000000075E-02,-6.22E+00
 3.022499941E-02, 5.000000075E-02,-6.01E+00
 3.037500009E-02, 5.000000075E-02,-5.79E+00
 3.052499890E-02, 5.000000075E-02,-5.57E+00
 3.067499958E-02, 5.000000075E-02,-5.34E+00
 3.082500026E-02, 5.000000075E-02,-5.11E+00
 3.097499907E-02, 5.000000075E-02,-4.88E+00
 3.112499975E-02, 5.000000075E-02,-4.65E+00
 3.127500042E-02, 5.000000075E-02,-4.43E+00
 3.142499924E-02, 5.000000075E-02,-4.20E+00
 3.157499805E-02, 5.000000075E-02,-3.99E+00
 3.172499686E-02, 5.000000075E-02,-3.78E+00
 3.187499940E-02, 5.000000075E-02,-3.58E+00
 3.202499822E-02, 5.000000075E-02,-3.40E+00
 3.217499703E-02, 5.000000075E-02,-3.23E+00
 3.232499957E-02, 5.000000075E-02,-3.09E+00
 3.247499838E-02, 5.000000075E-02,-2.97E+00
 3.262499720E-02, 5.000000075E-02,-2.87E+00
 3.277499974E-02, 5.000000075E-02,-2.80E+00
 3.292499855E-02, 5.000000075E-02,-2.75E+00
 3.307499737E-02, 5.000000075E-02,-2.74E+00
 3.322499990E-02, 5.000000075E-02,-2.75E+00
 3.337499872E-02, 5.000000075E-02,-2.79E+00
 3.352499753E-02, 5.000000075E-02,-2.86E+00
 3.367500007E-02, 5.000000075E-02,-2.96E+00
 3.382499889E-02, 5.000000075E-02,-3.08E+00
 3.397499770E-02, 5.000000075E-02,-3.22E+00
 3.412500024E-02, 5.000000075E-02,-3.39E+00
 3.427499905E-02, 5.000000075E-02,-3.57E+00
 3.442499787E-02, 5.000000075E-02,-3.76E+00
 3.457500041E-02, 5.000000075E-02,-3.97E+00
 3.472499922E-02, 5.000000075E-02,-4.18E+00
 3.487499803E-02, 5.000000075E-02,-4.41E+00
 3.502499685E-02, 5.000000075E-02,-4.63E+00
 3.517499939E-02, 5.000000075E-02,-4.86E+00
 3.532499820E-02, 5.000000075E-02,-5.09E+00
 3.547499701E-02, 5.000000075E-02,-5.32E+00
 3.562499955E-02, 5.000000075E-02,-5.54E+00
 3.577499837E-02, 5.000000075E-02,-5.76E+00
 3.592499718E-02, 5.000000075E-02,-5.98E+00
 3.607499972E-02, 5.000000075E-02,-6.19E+00
 3.622499853E-02, 5.000000075E-02,-6.39E+00
 3.637499735E-02, 5.000000075E-02,-6.58E+00
 3.652499989E-02, 5.000000075E-02,-6.76E+00
 3.667499870E-02, 5.000000075E-02,-6.94E+00
 3.682499751E-02, 5.000000075E-02,-7.11E+00
 3.697500005E-02, 5.000000075E-02,-7.26E+00
 3.712499887E-02, 5.000000075E-02,-7.41E+00
 3.727499768E-02, 5.000000075E-02,-7.55E+00
 3.742500022E-02, 5.000000075E-02,-7.68E+00
 3.757499903E-02, 5.000000075E-02,-7.80E+00
 3.772499785E-02, 5.000000075E-02,-7.91E+00
 3.787500039E-02, 5.000000075E-02,-8.00E+00
 3.802499920E-02, 5.000000075E-02,-8.09E+00
 3.817499802E-02, 5.000000075E-02,-8.18E+00
 3.832499683E-02, 5.000000075E-02,-8.25E+00
 3.847499937E-02, 5.000000075E-02,-8.31E+00
 3.862499818E-02, 5.000000075E-02,-8.36E+00
 3.877499700E-02, 5.000000075E-02,-8.41E+00
 3.892499954E-02, 5.000000075E-02,-8.44E+00
 3.907499835E-02, 5.000000075E-02,-8.47E+00
 3.922499716E-02, 5.000000075E-02,-8.49E+00
 3.937499970E-02, 5.000000075E-02,-8.49E+00
 3.952499852E-02, 5.000000075E-02,-8.50E+00
 3.967499733E-02, 5.000000075E-02,-8.49E+00
 3.982499987E-02, 5.000000075E-02,-8.47E+00
 3.997499868E-02, 5.000000075E-02,-8.45E+00
 4.012499750E-02, 5.000000075E-02,-8.41E+00
 4.027500004E-02, 5.000000075E-02,-8.37E+00
 4.042499885E-02, 5.000000075E-02,-8.32E+00
 4.057499766E-02, 5.000000075E-02,-8.26E+00
 4.072500020E-02, 5.000000075E-02,-8.19E+00
 4.087499902E-02, 5.000000075E-02,-8.11E+00
 4.102499783E-02, 5.000000075E-02,-8.03E+00
 4.117499664E-02, 5.000000075E-02,-7.93E+00
 4.132499918E-02, 5.000000075E-02,-7.82E+00
 4.147499800E-02, 5.000000075E-02,-7.71E+00
 4.162499681E-02, 5.000000075E-02,-7.58E+00
 4.177499935E-02, 5.000000075E-02,-7.45E+00
 4.192499816E-02, 5.000000075E-02,-7.30E+00
 4.207499698E-02, 5.000000075E-02,-7.15E+00
 4.222499952E-02, 5.000000075E-02,-6.98E+00
 4.237499833E-02, 5.000000075E-02,-6.81E+00
 4.252499714E-02, 5.000000075E-02,-6.63E+00
 4.267499968E-02, 5.000000075E-02,-6.44E+00
 4.282499850E-02, 5.000000075E-02,-6.24E+00
 4.297499731E-02, 5.000000075E-02,-6.03E+00
 6.127499789E-02, 5.000000075E-02,-5.36E+00
 6.142499670E-02, 5.000000075E-02,-5.57E+00
 6.157499924E-02, 5.000000075E-02,-5.79E+00
 6.172499806E-02, 5.000000075E-02,-5.99E+00
 6.187499687E-02, 5.000000075E-02,-6.19E+00
 6.202499941E-02, 5.000000075E-02,-6.39E+00
 6.217499822E-02, 5.000000075E-02,-6.57E+00
 6.232499704E-02, 5.000000075E-02,-6.75E+00
